SPEC Template — NEURONIUM AI (Commitment-aware AI Super Agent)

1. Feature Context
Section	Fill In
Plugin & Extension Surface	Three entry-point groups for pip-installable plugins: `neuronium_agent.nodes`, `neuronium_agent.critics`, `neuronium_agent.recovery_policies`. MCP tools registered under `[[tools.mcp]]` in neuronium.toml. trace_event_listener callback passed via create_runner() for in-process observers. Custom embeddings provider via `[memory.embeddings]`. All extension points are versioned and module-digested for replay.

3.2 Backend Services
Area	Fill In
Service Name	(1) Orchestrator/Control Plane (in-process AgentRunner facade); (2) Planner Service (HTN → DAG); (3) Execution Engine (deterministic DAG executor); (4) Node Runtime (ModelNode, CodeNode in Docker sandbox, McpToolNode + custom plugin nodes); (5) Trace Service (recording + export + replay); (6) Verification Service (critics: demo, generic, business + custom plugin critics); (7) Memory Service (GraphRAG-lite ingest + vector kNN + graph expansion + retrieval); (8) Storage Service (BlobStore + IndexStore, multi-backend); (9) Queue Service (Redis + RQ workers, lease-based ownership); (10) Recovery Service (policies for TRANSIENT/PERSISTENT/SYSTEMIC/CRITICAL); (11) Plugin Loader (entry-point discovery for nodes/critics/recovery policies, module-digest pinning); (12) Observability Bus (trace_event_listener fan-out, structured-log correlation, /metrics endpoint hook); (13) MCP Client + Registry (tool discovery, JSON Schema validation, replay-safe invocation); (14) Sandbox Service (Docker isolation for CodeNode and unsafe custom nodes); (15) Config Service (TOML + env layered loader with priority and override).
Responsibility	Orchestrator: state machine, control protocol, checkpoints. Planner: produce typed DAG from objective+constraints. Executor: topological execution, retries, timeouts, determinism. Node Runtime: actual side-effect (LLM, code, MCP). Trace: append-only event log + replay. Verification: pre-commit critic gates with evidence. Memory: store/retrieve graph + vector context. Storage: persist blobs (CAS) and structured rows (runs/artifacts/events). Queue: distribute jobs across workers. Recovery: classify failures and decide retry/escalate.
Business Logic	Plan→Execute→Verify→Adapt loop: 1) AgentRunner.start writes a RUN row, calls Planner, persists DAG. 2) Executor walks the DAG, for each node it gathers inputs from CAS, calls Node Runtime, validates output via Critic, computes canonical artifact_id, writes blob + index rows, appends trace events. 3) Control commands hit the Orchestrator state machine; pause/stop write a checkpoint and gate further execution. 4) On failure, Recovery classifies and either retries or escalates; on critic FAIL, the node is rejected and revise/replan is suggested. 5) replay_run feeds recorded artifacts to nodes instead of live calls.
API / Contract	Public Python facade `AgentRunner` (Pydantic v2 DTOs): start(RunRequest, *, on_handle_ready=None) → RunHandle; get_status(handle) → RunStatus; control(handle, ControlCommand) → RunStatus; resume_run(trace_id) → RunHandle; export_trace(handle, format, path); replay(trace_id) → RunHandle; get_latest_pause_context(trace_id); read_artifact_json(artifact_id); get_trace_events(trace_id); get_latest_rendered_artifact_path(trace_id). Factory: create_runner(config=None, *, trace_event_listener=None). Internal contracts: BlobStore (put/get/exists by artifact_id), IndexStore (insert/query runs/artifacts/trace_events), NodeProtocol (run(inputs)->outputs), CriticProtocol (verify(outputs)->Verdict).
Request Schema	RunRequest{ objective: str (required), constraints: list[str]=[], mode: Literal["batch","supervised","interactive"]|None, metadata: dict[str,Any]={} }. ControlCommand{ type: Literal["continue","pause","revise","replan","stop","escalate"], payload: dict[str,Any]={} }. InterruptRequest{ command: Literal["pause","stop"], mode: Literal["graceful","immediate"]="graceful", export_path: str|None }.
Response Schema	RunHandle{ trace_id: str, execution_id: str, created_at: datetime }. RunStatus{ state: Literal["PENDING","RUNNING","PAUSED","COMPLETED","FAILED","CANCELLED"], progress: float|None, current_node_ref: str|None, message: str|None }. NodeStatus{ status: Literal["PENDING","READY","RUNNING","COMPLETED","FAILED","TIMEOUT","RETRYING","CANCELLED"] }. FailureClass{ kind: Literal["TRANSIENT","PERSISTENT","SYSTEMIC","CRITICAL"], message: str, retryable: bool }. TraceExportFormat ∈ {"jsonl","json","zip"}.
Error Handling	Typed hierarchy in `neuronium_agent.errors`: ConfigError (bad/missing config), PlanningError (invalid HTN/DAG), ExecutionError (node-level, wraps FailureClass), ControlError (illegal state transition), TraceError (corrupt/missing event), StorageError (CAS/index IO), VerificationError (critic FAIL), ReplayError (incl. NetworkAttemptInReplayError, ArtifactMissingError). Strategy: fail fast at boundaries, classify via FailureClass, persist failure into trace, apply recovery policy (retry with backoff for TRANSIENT, escalate/halt for CRITICAL); never lose a partial checkpoint.

3.3 Data Architecture and Flows
Area	Fill In
Main Entities (ER)	Run(execution_id PK, trace_id, state, created_at, updated_at, mode, objective, metadata_json, parent_trace_id NULL), Plan(plan_id PK, run_id FK, root_dag_id, planner_version, plan_digest), Node(node_ref PK, run_id FK, type ∈ {model,code,mcp,custom:*}, status, attempt_idx, inputs_artifact_ids[], output_artifact_id, started_at, ended_at), NodeEdge(src_node_ref, dst_node_ref, run_id), Artifact(artifact_id PK = canonical sha256, mime, size, blob_ref, created_at, producer_node_ref), TraceEvent(seq PK, run_id FK, ts, kind, payload_json, parent_trace_id NULL, listener_fanout_status), Checkpoint(checkpoint_id PK, run_id FK, phase_boundary, resume_context_json, fsynced_at), CriticVerdict(verdict_id PK, node_ref FK, critic_name, result ∈ {PASS,FAIL,WARN}, evidence_artifact_id, priority, latency_ms), MemoryNode(id PK, kind ∈ {doc,artifact,trace,fact}, content_artifact_id, embedding vector(pgvector), source_digest, created_at), MemoryEdge(src FK, dst FK, relation, weight), MemoryRetrievalLog(id PK, run_id FK, node_ref, query_digest, retrieved_ids[], scores[], hops, ts), McpToolRegistry(tool_id PK, endpoint, schema_artifact_id, version, auth_ref), McpToolCall(id PK, node_ref FK, tool_id, input_artifact_id, output_artifact_id, latency_ms, status), PluginRegistry(name PK, kind ∈ {node,critic,recovery_policy}, module, class, version, module_digest), JobLease(execution_id PK, worker_id, leased_at, expires_at, heartbeat_at), RecoveryAttempt(id PK, node_ref FK, classification ∈ {TRANSIENT,PERSISTENT,SYSTEMIC,CRITICAL}, action ∈ {retry,revise,escalate,halt}, attempt_idx, ts), ConfigSnapshot(run_id PK, toml_digest, env_keys[], plugin_digests_json) — recorded per run for replay reproducibility.
Relationships (ER)	Run 1—1 Plan; Run 1—1 ConfigSnapshot; Plan 1—N Node; Node 1—N NodeEdge (DAG edges); Run 1—N TraceEvent; Run 1—N Checkpoint; Run 1—N RecoveryAttempt; Run 1—N MemoryRetrievalLog; Node 1—N CriticVerdict; Node 1—N McpToolCall; Node 1—N RecoveryAttempt; Node N—1..M Artifact (inputs and one current output per attempt); Artifact 1—N MemoryNode (optional); MemoryNode N—N MemoryNode via MemoryEdge; McpToolRegistry 1—N McpToolCall; PluginRegistry referenced by Node.type and CriticVerdict.critic_name; Run 0..1—1 JobLease (only one worker leases at a time); Run (replay) 1—1 Run (parent_trace_id, original).
Data Flow (DFD)	Level 0: User/CLI/API → AgentRunner → ConfigSnapshot persisted → Planner → DAG → Executor → {Node Runtime + Memory.retrieve + MCP Client + Critic chain + Recovery} → Storage{BlobStore CAS, IndexStore} → Trace → Observability Bus → Listeners. Level 1 per node: (a) Executor reads input artifact_ids from IndexStore, fetches blobs from CAS; (b) optional memory.retrieve(query) → MemoryRetrievalLog event; (c) Node Runtime invoked (LLM / Code in Docker sandbox / MCP tool / custom plugin); (d) raw output bytes captured, canonical_artifact_id = sha256 over canonical JSON computed; (e) blob written to CAS, Artifact row inserted, Node updated, TraceEvent appended — all transactional per phase boundary with fsync; (f) Critic chain (in priority order) verifies output, writes CriticVerdict + evidence; (g) on FAIL Recovery Service applies policy → retry / revise / escalate; (h) Observability Bus fan-outs every persisted event to listeners with at-least-once + circuit-breaker. Level 1 replay: identical pipeline but Node Runtime reads recorded output blob from CAS by recorded artifact_id; live network calls blocked; replay_index isolated. Level 1 ingest: Memory Service chunks source → embeds → writes MemoryNode + MemoryEdge + vector index transactionally → MEMORY_INGESTED event. Level 1 worker: RQ pulls job → claim JobLease(execution_id) → Orchestrator runs DAG → heartbeat extends lease → on terminal state release lease → on crash lease expires → another worker re-claims (idempotent because state lives in Postgres + CAS).
Input Sources	1) User objective + constraints (CLI / Python API / RunRequest). 2) neuronium.toml config (project, determinism, storage, llm, queue, verification, memory, sandbox, plugins, tools.mcp). 3) Environment variables / .env (NEURONIUM_OPENAI_API_KEY, DB URL, REDIS URL, NEURONIUM_LOG_LEVEL, etc.). 4) MCP tool servers (external HTTP/stdio endpoints with JSON Schema). 5) Web fetch tool (HTTP, sandboxed). 6) Recorded trace bundles (jsonl/json/zip — for replay or import). 7) Memory store (prior runs' artifacts + ingested docs + embeddings + graph). 8) Custom user-supplied plugins discovered via entry-points (nodes / critics / recovery_policies). 9) Embeddings provider (sentence-transformers locally or OpenAI / pluggable). 10) Secret store (env / Vault / cloud secret manager) for API keys never persisted to trace. 11) Pre-existing artifacts in CAS (e.g., reference data sets) referenced by node inputs.



3.4 Infrastructure

Required Hardware / Resources	Local/dev: 1 dev machine, Python 3.11+, 2 vCPU / 4 GB RAM / 10 GB disk; SQLite + FS CAS in `.neuronium/`; outbound HTTPS to OpenAI; optional Docker Desktop for CodeNode sandbox.
	Production (small cluster): control-plane node 2 vCPU / 4 GB; 2–8 worker nodes 4 vCPU / 8 GB each (Docker engine on each for CodeNode); Postgres ≥14 with pgvector extension (4 vCPU / 16 GB / 200 GB SSD); Redis ≥6 (2 vCPU / 4 GB); shared object/blob storage or NFS for FS CAS (500 GB+); egress to OpenAI / MCP tool endpoints.
	Software/runtime: Python ≥3.11; pydantic 2.x; click 8.x; openai 1.x–3.x; python-dotenv; beautifulsoup4; optional extras: psycopg (postgres), redis + rq (queue), pgvector, sentence-transformers + numpy (embeddings), docker SDK (sandbox).
	Storage: BlobStore=fs_cas (content-addressable on-disk) and pluggable; IndexStore ∈ {sqlite, postgres}; migrations under `neuronium_agent/storage/migrations/`.
	Networking: HTTPS egress to LLM provider; intra-cluster TCP to Postgres/Redis; Docker network isolation for CodeNode (no host network by default); MCP tool endpoints reachable from workers.
	Observability: structured logs from CLI/API; trace events as the source of truth; pluggable trace_event_listener for Prometheus/Loki/OpenTelemetry adapters built by adopters.
	Security: API keys via env / secret manager (never persisted to trace/artifacts); Docker sandbox for CodeNode (no host net, read-only mounts); Postgres role separation (RW for workers, RO for auditors); replay runs write only to a dedicated replay_index.
	CI/CD: pytest + pytest-asyncio + coverage suite covering canonical JSON, config loading, storage, deterministic reproducibility; Hatchling build backend; pip-installable via extras `[docker], [postgres], [redis], [pgvector], [embeddings], [dev], [all]`.
	Backups & DR: nightly pg_dump of IndexStore; CAS snapshotting (rsync/object-store versioning); trace bundles (zip) act as portable, self-verifying backups per run.

4. Work Plan
Mapping: Use Case → Tasks
Use Case	Task ID	Task	Dependencies	DoD	Subtasks
UC-1.1	T-1	Implement deterministic Plan→Execute pipeline: HTN planner, DAG executor, FS CAS + SQLite index, canonical artifact_id, base trace events, public AgentRunner.start/get_status, CLI `neuronium-agent run`	none (foundational)	`neuronium-agent run -o "<objective>"` finishes in COMPLETED on the demo objective; identical inputs/seed produce byte-identical artifact_id ≥ 99% of runs; trace contains every node transition; unit + integration tests green; coverage ≥ 80% on touched modules.	ST-1, ST-2, ST-3
UC-1.2	T-2	Implement Control Protocol & resume: state machine, ControlCommand handling (continue/pause/revise/replan/stop/escalate), checkpoints at phase boundaries, AgentRunner.control + resume_run + get_latest_pause_context, interactive CLI controls	T-1	Pause/Stop/Continue cycle round-trips with ≤ 500 ms p95 control latency on local backends; resume from checkpoint never re-executes COMPLETED nodes; illegal transitions raise typed ControlError; idempotency test passes (same command → same state); integration test with simulated long-running node.	ST-4, ST-5
UC-2.1	T-3	Implement Trace export & re-import: deterministic ordering, manifest with sha256, formats jsonl/json/zip, bundle re-import path, EXPORT_PERFORMED audit event, CLI flag	T-1	export_trace produces stable, ordered, manifest-checked bundle; 10k-event export ≤ 10 s p95 on local SSD; re-import into empty store recreates identical query results; corrupted artifact reference aborts with typed error.	ST-6, ST-7, ST-8
UC-2.2	T-4	Implement strict Replay: offline executor mode, NetworkAttemptInReplayError guard, replay_report with TRANSIENT/PERSISTENT/CRITICAL classification, parent_trace_id linkage, dedicated replay_index isolation	T-1, T-3	`AgentRunner.replay(trace_id)` reproduces ≥ 99% of regression-suite runs byte-identically; any divergence is surfaced in replay_report; replay never writes to production index; live network calls in replay are blocked with typed error.	ST-9, ST-10
UC-3.1	T-5	Productionize backends & workers: Postgres+pgvector IndexStore, Redis+RQ queue, `neuronium-agent worker` entry, Docker sandbox for CodeNode, recovery policies foundation	T-1, T-2	Cluster of N=8 workers achieves ≥ 0.85 linear-scaling efficiency on benchmark DAG; no duplicate node execution under failover; CodeNode runs only inside Docker sandbox without host network; secrets never appear in trace/artifacts; chaos test (worker kill mid-run) recovers without data loss.	ST-11, ST-12
UC-3.2	T-6	Observability Bus: trace_event_listener fan-out with circuit-breaker, structured-log correlation IDs, /metrics endpoint hook, alert payload with trace_id pivot	T-1, T-5	Fan-out latency ≤ 50 ms p95 with 8 listeners; failing listener never blocks executor; every log line carries trace_id/execution_id/node_ref; Prometheus scrape returns counts per node-type and per-worker; alert payload contains trace_id and pivot URL.	ST-13, ST-14
UC-4.1	T-7	GraphRAG-lite Memory: ingest pipeline (chunking + embeddings + dedup), MemoryNode/MemoryEdge schema + pgvector indexes, transactional writes, MEMORY_INGESTED events	T-1, T-5	Ingest of 1k chunks ≤ 30 s p95; idempotent on duplicate source; vector dim matches model; embedding writes are transactional with row inserts; MEMORY_INGESTED event recorded with source_digest.	ST-15, ST-16
UC-4.2	T-7	Memory retrieval: vector kNN + graph expansion + ranking, MEMORY_HIT/MISS events, replay-deterministic context	(part of T-7)	Retrieval p95 ≤ 200 ms for k=10/hops=1 over 100k nodes; recall@10 ≥ 0.85 on benchmark; MEMORY_HIT records resolved IDs so replay reproduces identical context.	ST-17
UC-5.1	T-8	Critic plugin protocol: discovery from programmatic + TOML + entry-points; CriticVerdict persistence; CRITIC_VERDICT events; in-process gate chain	T-1	Three-source discovery works; bad class fails fast with typed error; critic gate overhead ≤ 20 ms p95 per critic per node; verdicts persisted with evidence and queryable.	ST-18, ST-19
UC-5.2	T-8	Auto revise loop: recovery policy revise_on_critic_fail with max_revise_attempts; failed-artifact retention; ESCALATED state	T-2, T-8	≥ 80% of revisable failures converge to PASS within 3 attempts; failed artifacts retained and queryable by attempt index; ESCALATED state reached cleanly when limit exceeded.	ST-20
UC-6.1	T-9	MCP tool integration: handshake + JSON Schema validation + McpToolRegistry + replay-safe invocation + McpProtocolError	T-1, T-5	Tool descriptors validated and persisted; live + replay paths both work; schema-violating responses raise McpProtocolError; MCP overhead ≤ 100 ms p95.	ST-21, ST-22
UC-6.2	T-9	Plugin SDK: entry-point loader for nodes/critics/recovery_policies + module-digest pinning + PluginDriftError on replay drift + sandbox enforcement for custom code nodes	T-2, T-5, T-8	Three entry-point groups discovered at startup; bad protocol implementation fails fast; replay detects digest drift and raises PluginDriftError in strict mode; custom code nodes obey sandbox rules; plugin-load adds ≤ 500 ms startup for 20 plugins.	ST-23, ST-24, ST-25

5. Detailed Task Breakdown
Task 1
Field	Fill In
Task ID	T-1
Related Use Case	UC-1.1 (Start a deterministic agent run)
Task Description	Build the foundational Plan→Execute pipeline end-to-end so a user can call `neuronium-agent run -o "<objective>"` (or `AgentRunner.start`) and obtain a COMPLETED run with persisted artifacts, trace and HTML render. Includes: HTN planner → DAG, deterministic executor with topological order and seed/temperature controls, ModelNode (OpenAI provider) + minimal CodeNode + McpToolNode stub, BlobStore=fs_cas with sha256-based canonical artifact_id, IndexStore=sqlite with migrations for runs/artifacts/trace_events/nodes/edges, base trace events (RUN_STARTED, NODE_STARTED, NODE_COMPLETED, RUN_COMPLETED), public Pydantic DTOs (RunRequest, RunHandle, RunStatus), AgentRunner.start / get_status, AgentRunner factory create_runner(), neuronium.toml loading + env override, CLI command `neuronium-agent run` with timeline / -v / --summary modes.
Dependencies	None (this is the foundation; assumes OpenAI API key access for live LLM tests).
DoD	(a) `neuronium-agent run -o "demo objective"` ends in COMPLETED on a clean install with default config; (b) two consecutive runs with identical config and seed produce byte-identical artifact_id values for all nodes ≥ 99% of the time on the regression suite; (c) trace contains an event for every state transition and every node start/finish; (d) HTML artifact path is returned by get_latest_rendered_artifact_path; (e) unit + integration tests green; coverage ≥ 80% on touched modules; (f) docs CONFIG_SPEC.md + PUBLIC_API_SPEC.md updated.

Subtasks
Subtask ID	Description	Dependencies	Acceptance Criteria
ST-1	Implement HTN planner that converts (objective, constraints) into a typed DAG of ModelNode/CodeNode/McpToolNode with declared input/output contracts; validate acyclicity and input-completeness before returning the plan.	none	Given a fixture objective, the planner returns a DAG whose `topological_sort` succeeds, all node inputs are produced by some upstream node or are run-level inputs, no cycles, and the produced plan is identical across runs with the same seed.
ST-2	Implement deterministic executor: topological execution, llm_temperature=0.0, default_random_seed propagation, FS CAS write of every output, canonical artifact_id (sha256 over canonical JSON), SQLite migrations & inserts for runs/artifacts/trace_events/nodes/edges, structured logging.	ST-1	On the regression suite, two runs with identical inputs/seed produce byte-identical artifact_ids in ≥ 99% of nodes; SQLite schema migrates from empty DB to current version idempotently; crash test (SIGKILL during write) leaves no torn artifact (verified by sha256 check on next start).
ST-3	Implement public surface: AgentRunner.start / get_status / get_latest_rendered_artifact_path / get_trace_events / read_artifact_json, factory create_runner(), CLI `neuronium-agent run` with default + -v + --summary outputs and graceful Ctrl+C handling.	ST-1, ST-2	`pytest tests/api` covers happy path + error path; `neuronium-agent run -o "..."` prints the timeline and a final summary line containing trace_id, execution_id, state=COMPLETED; -v prints stdout/stderr per node; --summary prints aggregate durations/counts.

Task 2
Field	Fill In
Task ID	T-2
Related Use Case	UC-1.2 (Pause / Stop / Resume / Revise running agent)
Task Description	Add the declarative Control Protocol on top of T-1: explicit run state machine (PENDING/RUNNING/PAUSED/COMPLETED/FAILED/CANCELLED), checkpoints at phase boundaries, ControlCommand handling (continue/pause/revise/replan/stop/escalate), InterruptRequest support, AgentRunner.control / resume_run / get_latest_pause_context, idempotent Orchestrator.apply_control, interactive CLI mode (keystroke control), CONTROL_APPLIED trace events, typed ControlError on illegal transitions.
Dependencies	T-1 (planner + executor + state persistence + trace must exist).
DoD	(a) Pause→Resume round-trip on a long-running test node restarts from latest phase-boundary checkpoint with no duplicate side-effects; (b) p95 latency from control() call to RunStatus reflecting new state ≤ 500 ms on local backends; (c) Replaying the same ControlCommand on the same checkpoint is a no-op (idempotency test); (d) Illegal transitions raise typed ControlError without mutating state; (e) Interactive CLI keystroke handlers ship with help text and integration test; (f) Graceful pause/stop flushes all in-flight checkpoints before transitioning.

Subtasks
Subtask ID	Description	Dependencies	Acceptance Criteria
ST-4	Implement run + node state machines, phase-boundary checkpoint writer, idempotent Orchestrator.apply_control, ControlCommand/InterruptRequest contracts, CONTROL_APPLIED trace events, typed ControlError.	T-1	Unit tests cover every legal and illegal transition matrix; checkpoint table has exactly one row per phase boundary; replaying the same command on the same checkpoint produces zero new state changes and zero new trace events.
ST-5	Implement AgentRunner.control / resume_run / get_latest_pause_context and interactive CLI mode (`--interactive`) with key bindings p/s/r and structured prompts.	ST-4	Integration test: launch a 10-node mock DAG, send pause at node 5 → state=PAUSED in ≤500ms p95 → resume_run → run completes without re-executing nodes 1–5; CLI integration test with simulated keystrokes covers pause + resume + stop.

Task 3
Field	Fill In
Task ID	T-3
Related Use Case	UC-2.1 (Export trace bundle for audit)
Task Description	Implement deterministic Trace export & re-import: AgentRunner.export_trace(format ∈ {jsonl, json, zip}, path), CLI flag `--export-trace`, bundle manifest with neuronium-v1 canonical-json schema id and per-artifact sha256 digests, EXPORT_PERFORMED audit event, re-import path that recreates a queryable run in an empty store.
Dependencies	T-1 (trace + artifacts + index must exist).
DoD	(a) Exported bundle is byte-identical for identical input traces (ordering by (trace_id, sequence_no), no gaps); (b) jsonl/json/zip formats all round-trip through re-import to byte-identical query results; (c) zip bundle includes referenced artifacts and a manifest with sha256 digests verifiable offline; (d) 10k-event export ≤ 10 s p95 on local SSD; (e) Corrupted artifact reference aborts the export with a typed StorageError; (f) EXPORT_PERFORMED event recorded with the export digest.

Subtasks
Subtask ID	Description	Dependencies	Acceptance Criteria
ST-6	Implement chronological trace serializer with stable ordering by (trace_id, sequence_no), pluggable format writers (jsonl, json, zip), manifest builder with neuronium-v1 schema id + per-artifact sha256.	T-1	Round-trip test: random 1k-event trace → export → re-import → exported again → byte-identical second export; manifest validates against schema; sha256 of every referenced artifact matches CAS.
ST-7	Implement re-import path that ingests an exported bundle (jsonl/json/zip) into an empty IndexStore and (for zip) restores artifact bytes into BlobStore.	ST-6	After re-import on an empty store, get_trace_events(trace_id) returns identical event list to the source store, read_artifact_json(artifact_id) returns identical bytes, and a follow-up export of the re-imported run is byte-identical to the original bundle.
ST-8	Wire CLI flag `--export-trace path --format jsonl|json|zip`, emit EXPORT_PERFORMED audit event, add throughput benchmark for 10k-event trace and StorageError on bad sha256.	ST-6, ST-7	`neuronium-agent run --trace-id T --export-trace out.zip` writes the bundle and emits the audit event in the trace store; benchmark test verifies ≤10 s p95 on standard fixture; bad-sha256 fixture aborts with StorageError.

Task 4
Field	Fill In
Task ID	T-4
Related Use Case	UC-2.2 (Strict offline replay of recorded run)
Task Description	Implement strict Replay engine: AgentRunner.replay(trace_id), executor offline mode that serves recorded artifacts to ModelNode/McpToolNode, NetworkAttemptInReplayError guard for any outbound call without a recorded artifact, replay_report with classification TRANSIENT/PERSISTENT/CRITICAL, parent_trace_id linkage on emitted replay events, dedicated replay_index so replay cannot mutate production data.
Dependencies	T-1 (executor + trace + artifacts), T-3 (export/import for portable bundles).
DoD	(a) Regression suite ≥ 99% of recorded runs replay byte-identical given identical config and CAS contents; (b) Strict mode raises NetworkAttemptInReplayError if any node attempts a live call without a recorded artifact; (c) Divergences are classified and surfaced in replay_report{matched, diverged, missing}; (d) Replay run is tagged origin="replay" with parent_trace_id; (e) Replay only writes to replay_index, never to production index; (f) Documented replay procedure in PUBLIC_API_SPEC.md.

Subtasks
Subtask ID	Description	Dependencies	Acceptance Criteria
ST-9	Implement offline executor mode: replace live ModelNode/McpToolNode side-effects with recorded-artifact lookups; raise NetworkAttemptInReplayError on any uncovered network attempt; tag emitted events with origin="replay" + parent_trace_id.	T-1, T-3	On the recorded fixture suite, replay runs to COMPLETED without any outbound network call (verified by network-mock); a fixture that intentionally lacks a recorded artifact raises NetworkAttemptInReplayError with typed payload; emitted events carry origin="replay".
ST-10	Implement replay_report (matched / diverged / missing) with TRANSIENT/PERSISTENT/CRITICAL classification, dedicated replay_index isolation, and AgentRunner.replay(trace_id) public method.	ST-9	After replay, `replay_report.matched + len(diverged) + len(missing) == nodes_total`; CRITICAL classification is set when DAG topology diverges; production IndexStore row count is unchanged after replay (only replay_index is mutated).

Task 5
Field	Fill In
Task ID	T-5
Related Use Case	UC-3.1 (Production deployment with Postgres + Redis + workers)
Task Description	Productionize the framework: Postgres IndexStore (with optional pgvector), Redis + RQ queue, `neuronium-agent worker` entry point with lease-based job ownership, Docker sandbox for CodeNode, MCP tool registry + integration, recovery policies (TRANSIENT/PERSISTENT/SYSTEMIC/CRITICAL), pluggable critics (demo/generic/business + user plugins), trace_event_listener fan-out for observability, Hatchling extras `[postgres]/[redis]/[pgvector]/[docker]/[embeddings]/[all]`.
Dependencies	T-1 (foundational pipeline), T-2 (control + checkpoints needed for safe failover).
DoD	(a) Switching IndexStore from sqlite to postgres in neuronium.toml requires zero code change and passes the same integration suite; (b) `neuronium-agent worker` consumes RQ jobs, leases by execution_id, releases on terminal state; orphaned leases expire and are re-claimable; (c) Cluster of 8 workers reaches ≥ 0.85 linear-scaling efficiency on benchmark DAG; (d) CodeNode executes only inside Docker sandbox with no host network and read-only input mounts; (e) Secrets never appear in trace or artifacts (regex scan in CI); (f) Chaos test (kill worker mid-run) recovers via lease expiry without duplicate node execution; (g) Recovery policies and pluggable critics are documented and exercised by tests.

Subtasks
Subtask ID	Description	Dependencies	Acceptance Criteria
ST-11	Implement Postgres IndexStore (with optional pgvector), migrations, BlobStore/IndexStore selection from neuronium.toml, Redis + RQ queue + `neuronium-agent worker` entry with lease-based ownership and orphan-lease expiry.	T-1, T-2	Same integration suite that passes on sqlite passes on postgres without code changes; 8-worker benchmark hits ≥ 0.85 scaling efficiency; killing a worker mid-run results in lease expiry and re-claim by another worker without duplicate node execution (verified by trace).
ST-12	Implement Docker sandbox for CodeNode (no host network, read-only mounts) and recovery policies foundation for TRANSIENT/PERSISTENT/SYSTEMIC/CRITICAL with backoff/escalate; secret-leak CI scan over artifacts and trace.	ST-11	CodeNode unit test asserts no host-network access and read-only mount; injecting TRANSIENT failure triggers backoff retry and CRITICAL failure halts the run with typed error; CI secret-scan on artifacts and trace exits clean.

Task 6
Field	Fill In
Task ID	T-6
Related Use Case	UC-3.2 (Observability fan-out)
Task Description	Implement the Observability Bus: trace_event_listener registration via create_runner, in-order at-least-once delivery, circuit-breaker isolation of slow/failing listeners, structured-log correlation IDs (trace_id / execution_id / node_ref / control_command_id) on every line, /metrics endpoint hook with per-run / per-node-type / per-worker labels, alert payload that contains trace_id and a pivot URL.
Dependencies	T-1 (trace events must exist), T-5 (multi-worker context for cluster-level metrics).
DoD	(a) Fan-out latency from event persisted to all listeners invoked ≤ 50 ms p95 with up to 8 listeners; (b) Failing listener never blocks executor (verified by chaos test injecting exception in listener); (c) Circuit-breaker drops listener after N consecutive failures with an alert; (d) Every log line includes correlation IDs in JSON-line format; (e) Prometheus scrape on /metrics returns counts and durations labelled by node_type and worker_id; (f) Sample alert payload contains trace_id and works as a one-click pivot in Grafana fixture.

Subtasks
Subtask ID	Description	Dependencies	Acceptance Criteria
ST-13	Implement trace_event_listener fan-out with in-order at-least-once delivery, per-listener circuit-breaker, and isolation so a slow/failing listener does not block executor progress.	T-1	Unit test: 8 listeners, one of them sleeps 5s — executor continues unaffected and slow listener is dropped after configured threshold; ordering test verifies sequence_no monotonicity at every listener.
ST-14	Implement structured JSON-line logger with correlation IDs (trace_id/execution_id/node_ref/control_command_id) and /metrics endpoint hook with per-run/per-node-type/per-worker labels; ship sample Grafana dashboard + alert rule with trace_id pivot.	ST-13	Log capture in test confirms correlation fields present on every line; Prometheus scrape returns expected metric names; sample alert payload contains trace_id and renders pivot URL in Grafana fixture.

Task 7
Field	Fill In
Task ID	T-7
Related Use Case	UC-4.1 (Memory ingest) + UC-4.2 (Memory retrieve)
Task Description	Implement GraphRAG-lite Memory subsystem end-to-end: schema (MemoryNode, MemoryEdge, MemoryRetrievalLog with pgvector indexes), ingest pipeline (chunking, embeddings provider abstraction supporting sentence-transformers and OpenAI, content-sha256 dedup, transactional writes), retrieval pipeline (vector kNN + graph expansion up to N hops + ranking + score threshold), MEMORY_INGESTED / MEMORY_HIT / MEMORY_MISS trace events, replay-deterministic retrieval (record resolved IDs so replay reproduces identical context), public memory.ingest / memory.search / memory.retrieve API surface, optional sqlite-vec fallback when pgvector is unavailable.
Dependencies	T-1 (CAS + IndexStore + trace), T-5 (Postgres + pgvector for production scale).
DoD	(a) Ingest of 1k chunks (~1 MB) ≤ 30 s p95 on a 4-vCPU host; (b) Idempotent on duplicate source (no duplicate MemoryNode by content sha256); (c) Embedding writes are transactional with row inserts (no dangling vectors on partial failure); (d) Retrieval p95 ≤ 200 ms for k=10 / hops=1 over 100k MemoryNode rows; (e) recall@10 ≥ 0.85 on benchmark dataset; (f) MEMORY_HIT records resolved IDs and scores so replay reproduces identical context regardless of live store changes; (g) Documented in docs and integration-tested with both sentence-transformers and OpenAI embeddings.

Subtasks
Subtask ID	Description	Dependencies	Acceptance Criteria
ST-15	Implement Memory schema (MemoryNode, MemoryEdge, MemoryRetrievalLog) with pgvector indexes on Postgres and sqlite-vec fallback on SQLite; migrations idempotent.	T-1, T-5	Migrations apply cleanly to empty DB and to existing schema; vector index created with correct dim; sample insert + kNN query returns expected order on fixture data.
